fips,rural_urban_continuum_code_2003,economic_typology_2015,census_2010_pop,residual_2010,r_birth_2011,r_death_2011,r_international_mig_2011,r_domestic_mig_2011,r_domestic_mig_2012,r_domestic_mig_2013,r_domestic_mig_2014,r_domestic_mig_2016
48315,8.0,0.0,10546,-1.0,8.3015267176,14.694656489,-0.095419847,5.534351145,-5.467888148,-3.777056801,-3.133261529,6.021420463
48317,6.0,1.0,4799,-1.0,14.856081708,7.6343753224,-0.412668936,8.6660476633,6.4882400649,43.503706594,19.005030743,-16.16053987
48319,9.0,2.0,4012,-1.0,8.4545567574,9.2005470596,4.7246052468,1.7406440383,3.4614909136,14.921722114,-9.007912355,22.633244098
48321,4.0,0.0,36702,-4.0,14.906663033,9.2383158468,-0.272516692,-6.158877231,-9.313758962,-3.696402169,-5.261859739,4.1162293173
48323,5.0,4.0,54258,-2.0,18.615760493,5.9074499508,2.2791087773,0.1458629617,-5.836523306,-3.187974746,-6.968947706,-11.99022123
48325,1.0,0.0,46006,0.0,11.854762959,7.4929011779,0.0647801255,4.0811479038,3.4296860765,7.3377714444,8.6043674002,13.107233555
48327,8.0,1.0,2242,0.0,4.9504950495,18.901890189,0.900090009,5.8505850585,1.8107741059,-30.86846349,-3.282532239,-11.36094675
48329,3.0,2.0,136872,-4.0,16.313249013,7.4170809313,0.6060649788,13.86734392,36.688505891,20.407890873,13.57572934,-5.389695197
48331,6.0,1.0,24757,1.0,12.132770654,11.52410323,1.0550235351,-4.625872423,-22.94698385,-2.364948967,0.7878423486,12.234411321
48333,9.0,1.0,4936,1.0,8.1210029439,13.196629784,1.015125368,-13.39965486,-3.911477097,13.39653751,3.4893267652,5.5254271974
48335,7.0,4.0,9403,0.0,9.3577201191,11.165461506,-0.319013186,0.5316886431,-8.651535381,-36.99257966,7.96945044,-42.46970571
48337,6.0,2.0,19719,-1.0,12.665602756,13.932163032,0.1519872331,3.3437191276,-12.79437252,-1.389460683,-0.361271676,8.4364163346
48339,1.0,0.0,455746,147.0,13.646772109,6.2861115618,3.1527267218,15.645433221,17.213749242,19.158518633,26.382075314,25.756918849
48341,6.0,3.0,21904,-1.0,18.377765173,6.3528077141,8.1225184345,-17.24333522,-4.629213483,-33.8298636,-27.41774676,-20.84582392
48343,6.0,3.0,12934,-2.0,11.678150181,12.768110865,0.1557086691,-10.66604383,-5.181957367,-1.260686286,-6.090326663,6.6938182991
48345,8.0,1.0,1210,0.0,7.4844074844,18.295218295,0.0,5.8212058212,4.1718815186,-2.511511093,-23.92140111,27.633851468
48347,5.0,0.0,64524,-2.0,14.331747737,8.930489489,1.120147307,8.34739911,-4.060188107,-17.33570377,-5.734745042,-3.770675745
48349,4.0,0.0,47735,-7.0,13.883243176,9.7349467913,0.1667656838,0.0,-1.891164521,-6.611295336,-8.171007514,0.8489843249
48351,8.0,0.0,14445,-1.0,10.13408707,10.685602013,0.3446968391,8.1348454035,-8.966444805,-4.517810599,-1.187441065,1.6950349601
48353,6.0,0.0,15216,-2.0,11.254812913,13.295159114,0.2632704775,-4.870503834,-16.62510391,6.6,0.529906604,-8.290499088
48355,2.0,0.0,340223,-3.0,13.702838884,7.6780374187,1.343071332,1.483523236,5.584474582,6.6059339264,2.012392845,-4.530939727
48357,7.0,2.0,10223,6.0,18.142129517,6.1120543294,2.3284016493,12.127091923,6.2689969605,1.5950459749,-10.92487978,-53.35242186
48359,8.0,1.0,2052,0.0,7.2780203785,7.2780203785,0.0,11.159631247,-16.51287033,19.835510402,-18.76353139,0.4833252779
48361,2.0,3.0,81837,-6.0,12.010732995,10.76950223,0.0,2.7988536869,4.3576149321,-2.812345351,3.4928186444,4.2254189812
48363,6.0,2.0,28111,-2.0,12.002065637,10.82678918,0.0712288762,-2.42178179,-11.37156037,-1.793625455,2.2171759615,5.7050150648
48365,6.0,2.0,23796,-3.0,13.185709203,11.30203646,1.0046254631,6.9486594529,-2.291284786,-10.29482539,-1.977282289,-11.51085248
48367,1.0,0.0,116927,3.0,10.736899285,8.1057223854,0.2461423552,5.6612741686,6.5012068864,-0.643632427,15.384488203,21.88470859
48369,7.0,1.0,10269,-1.0,14.507570225,8.3734969086,4.7709459131,-9.639258069,-22.09188661,-31.63113535,-18.6578393,-16.26099407
48371,7.0,2.0,15507,-2.0,14.823846499,6.9306295322,1.2192774177,-1.411794905,-11.14991509,-0.704495965,2.7947154472,-15.91927548
48373,6.0,0.0,45413,6.0,10.348691583,12.304176829,1.2963329159,3.5374508382,-0.856295971,0.3734950347,6.1969672086,21.831142793
48375,3.0,0.0,121073,-9.0,16.743544707,9.2828181684,3.7508823191,-3.52927658,-8.56172769,-17.47894767,-13.5878913,-16.26264965
48377,7.0,4.0,7818,2.0,16.379806769,3.966984452,2.1754430866,-30.07230149,-30.182788,-46.7844052,-47.5994513,-5.347217336
48379,8.0,0.0,10914,1.0,9.3082679321,10.312100748,0.4562876437,8.7607227596,-5.560113025,8.9204442017,3.0844597659,20.320855615
48381,3.0,0.0,120725,12.0,13.483072571,7.4406282834,0.9239461495,11.340825746,6.0386716533,7.8974130808,8.0082665978,9.6684557116
48383,6.0,2.0,3367,1.0,13.044767269,5.0400237178,0.8894159502,2.964719834,18.631732169,27.566807314,20.22108385,-44.07274658
48385,9.0,5.0,3309,0.0,7.7002813564,13.32741004,0.2961646676,37.316748112,-17.98614183,1.4992503748,14.4036009,30.764635603
48387,6.0,1.0,12860,-2.0,10.486774143,15.025825638,-0.156519017,-10.33025513,7.3213934265,-14.83538278,-0.962618322,-9.704778992
48389,7.0,2.0,13783,-1.0,11.814406416,6.7306315337,3.0789059144,10.597164542,3.5257201283,7.5802357523,28.968870282,-34.6070188
48391,6.0,2.0,7383,0.0,11.976047904,14.289602613,0.1360914535,-5.307566685,-8.780956301,4.1279669763,11.884434123,-7.261268667
48393,9.0,0.0,929,1.0,11.891891892,7.5675675676,0.0,-3.243243243,14.989293362,-19.34443847,-3.273322422,-2.197802198
48395,3.0,2.0,16622,1.0,12.706250753,11.140551608,0.0602191979,4.6970974347,-13.83184344,-5.291005291,1.0334660628,4.954928064
48397,1.0,0.0,78337,25.0,12.015203421,5.4387237128,1.312795379,18.579180316,13.691185002,17.421436253,20.729733192,28.498128993
48399,6.0,1.0,10501,0.0,11.900228484,13.137852247,1.0472201066,-0.571210967,-13.53491721,-9.741366714,11.420204978,-9.098388424
48401,3.0,2.0,53330,-7.0,12.964329414,10.610575082,0.4670147483,3.5306314973,-1.320991674,-10.3243874,-4.035891275,-2.985159224
48403,9.0,3.0,10834,3.0,8.5193073433,16.390406519,-0.185202334,-5.185665339,-13.08173733,1.3366431163,8.3445233071,1.3447961193
48405,9.0,0.0,8865,-1.0,10.536452728,20.733019883,0.0,3.8520364811,0.9097111667,-11.0016044,-16.09892674,-0.841497866
48407,1.0,0.0,26384,1.0,9.5767454088,10.590753746,-0.450670372,12.881661471,6.9617661293,-6.446444208,11.863146151,15.609968599
48409,2.0,0.0,64804,29.0,13.918953518,9.1706817494,0.4189651561,-4.748271769,7.0614718081,7.2606055071,1.7621808871,-4.031898116
48411,7.0,1.0,6131,2.0,10.015598063,10.672358591,0.1641901322,-13.7919711,-11.96311373,-3.514644351,-20.81570486,-2.026342452
48413,8.0,2.0,3461,3.0,12.035813885,6.1646851607,0.5871128724,-63.11463379,-17.04977927,-24.49612403,-12.90322581,-44.46577095
48415,7.0,2.0,16921,-2.0,16.214936679,9.88282637,0.059178601,-9.942004971,11.061100815,2.6165072535,0.9235475771,-15.33005377
48417,8.0,2.0,3378,1.0,7.4437993152,8.9325591782,0.5955039452,-13.69659074,5.6758775205,-0.593824228,-10.1629054,-0.899550225
48419,6.0,3.0,25448,-3.0,13.830556152,11.212908519,0.8204567209,7.3059717528,8.6108697751,-9.339149484,-17.44727047,2.944698561
48421,9.0,1.0,3034,1.0,11.922503726,8.6106971353,0.9935419771,-8.279516476,0.6608293408,4.9107873629,-2.28198859,-2.610966057
48423,3.0,0.0,209714,1.0,14.112464908,9.187753443,1.3564224476,4.872723148,3.779453897,1.6555139745,7.56219088,6.5869588047
48425,8.0,0.0,8490,0.0,9.2165898618,8.8621056363,0.8271298594,-9.807396904,12.603062426,1.4018691589,0.700729927,6.9408294291
48427,4.0,0.0,60968,-2.0,23.5550922,6.3367433375,1.9547794357,-10.94676484,-13.33203896,-10.48644563,-8.616150495,-10.03312974
48429,7.0,2.0,9630,2.0,10.962622677,15.556483608,0.6264355815,-4.698266862,7.6240208877,-22.86015275,-3.526959867,1.9187719859
48431,8.0,2.0,1143,1.0,10.403120936,11.270047681,1.7338534894,27.74165583,18.636171114,28.925619835,77.072790969,2.994011976
48433,8.0,2.0,1490,3.0,6.7590402163,12.842176411,0.6759040216,-16.22169652,2.7444253859,-20.20905923,-17.106201,3.5727045373
48435,7.0,2.0,4128,5.0,13.914772021,7.9512982979,0.0,-24.59932911,-22.27002404,9.3694606229,-13.3316564,-18.97192668
48437,6.0,1.0,7854,1.0,14.247551202,10.685663402,0.0,-18.19106984,-0.127803694,-19.91647928,-27.23582559,-9.124454881
48439,1.0,0.0,1809034,-19.0,14.990061009,6.0752525944,2.5536359028,5.1170934822,6.4877843332,5.0261240399,4.8703137095,7.1030197314
48441,3.0,0.0,131506,-5.0,15.22547301,8.5383545911,1.3752040138,-0.332466904,-0.097401259,-9.507072471,-1.175096871,-7.158853115
48443,9.0,4.0,984,2.0,14.278429373,17.33809281,1.0198878123,-59.15349312,-38.48209514,-27.59381898,12.215435869,-55.78635015
48445,6.0,2.0,12651,-1.0,15.073195754,11.127332991,1.8940141262,-7.576056505,-9.014351797,-0.394555139,-1.881762584,-2.977006542
48447,9.0,1.0,1641,-1.0,8.547008547,13.431013431,1.8315018315,1.8315018315,-12.93501694,-4.353233831,8.0770425598,-6.45994832
48449,7.0,3.0,32334,-2.0,15.230226141,7.9542476607,0.7707604322,-7.060165559,-3.996065413,-8.558413473,-12.04504601,-13.24340518
48451,3.0,0.0,110224,9.0,13.613332794,8.8657504192,0.6024394301,4.2980007103,6.736041376,6.333694465,9.3680059221,-4.652389134
48453,1.0,4.0,1024266,193.0,14.949727848,4.4613069804,4.0923195164,15.109367502,17.200076902,8.5465771783,10.702974006,7.2047830706
48455,8.0,5.0,14585,1.0,12.238653748,15.638279789,-0.271970083,0.6799252082,-14.24736733,13.603081514,-7.166962391,7.014648236
48457,6.0,4.0,21766,-3.0,9.9912518993,11.648786777,-0.092085271,-2.394217045,-5.558386215,1.7669487585,1.1634400596,5.187764354
