fips,rural_urban_continuum_code_2013,civilian_labor_force_2000,unemployment_rate_2000,median_household_income_2019
10005,2.0,79367.0,3.7,64839.0
11001,1.0,309977.0,5.7,90395.0
12001,2.0,117215.0,3.0,49880.0
12003,1.0,10487.0,3.0,60454.0
12005,3.0,72654.0,4.7,58376.0
12007,6.0,10679.0,3.8,47509.0
12009,2.0,234063.0,3.7,57582.0
12011,1.0,862804.0,3.7,61429.0
12013,6.0,5200.0,4.8,41399.0
12015,3.0,55649.0,3.7,54756.0
12017,3.0,44138.0,4.7,49762.0
12019,1.0,74520.0,3.1,75776.0
12021,2.0,117136.0,3.8,76415.0
12023,4.0,25908.0,4.0,47087.0
12027,6.0,13393.0,4.5,41673.0
12029,6.0,5175.0,4.5,39793.0
12031,1.0,411949.0,3.4,58339.0
12033,2.0,133669.0,4.1,52822.0
12035,2.0,21195.0,3.6,62831.0
12037,6.0,4453.0,4.0,47504.0
12039,2.0,20131.0,4.0,42975.0
12041,2.0,6487.0,3.6,46171.0
12043,6.0,4123.0,4.8,45412.0
12045,3.0,5295.0,6.1,53228.0
12047,6.0,4623.0,5.4,39241.0
12049,6.0,10851.0,6.0,41430.0
12051,4.0,16447.0,7.3,45107.0
12053,1.0,50040.0,4.4,50705.0
12055,3.0,33472.0,4.8,45723.0
12057,1.0,533645.0,3.3,61133.0
12059,6.0,7811.0,4.9,38874.0
12061,3.0,51517.0,5.2,61173.0
12063,6.0,19573.0,4.6,40543.0
12065,2.0,6120.0,3.7,47192.0
12067,9.0,2744.0,4.1,45480.0
12069,1.0,94129.0,3.6,57660.0
12071,2.0,209581.0,3.3,62364.0
12073,2.0,136017.0,3.1,55081.0
12075,6.0,14528.0,3.9,41405.0
12077,8.0,2645.0,4.2,44236.0
12079,6.0,7767.0,4.1,37919.0
12081,2.0,124326.0,3.2,64151.0
12083,2.0,110190.0,4.1,49079.0
12085,2.0,56861.0,4.2,70806.0
12086,1.0,1091659.0,4.5,54991.0
12087,4.0,45588.0,2.9,67528.0
12089,1.0,30549.0,3.3,72818.0
12091,3.0,81126.0,3.7,63520.0
12093,4.0,15804.0,5.4,45225.0
12095,1.0,504054.0,3.1,63133.0
12097,1.0,90374.0,3.3,52270.0
12099,1.0,546593.0,4.3,66621.0
12101,1.0,151610.0,3.7,55745.0
12103,1.0,475357.0,3.3,56708.0
12105,2.0,233350.0,4.2,51817.0
12107,4.0,29619.0,4.3,41986.0
12109,1.0,67048.0,3.0,90839.0
12111,2.0,88254.0,5.8,57292.0
12113,2.0,55471.0,3.9,66139.0
12115,2.0,150154.0,3.2,66258.0
12117,1.0,214509.0,3.1,69954.0
12119,3.0,17077.0,4.3,63464.0
12121,6.0,15561.0,3.6,49453.0
12123,6.0,8354.0,5.0,42987.0
12125,6.0,4571.0,4.4,50893.0
12127,2.0,211550.0,3.4,53554.0
12129,2.0,11800.0,3.2,58640.0
12131,3.0,19592.0,3.5,62600.0
12133,6.0,9029.0,4.6,42518.0
13001,7.0,8519.0,5.4,43821.0
13003,9.0,3489.0,5.3,38581.0
13005,7.0,4641.0,4.5,41807.0
13007,3.0,1735.0,4.3,39515.0
13009,4.0,18875.0,4.8,44429.0
13011,8.0,7768.0,3.0,53481.0
13013,1.0,25014.0,3.0,68924.0
13015,1.0,40350.0,3.7,60254.0
13017,7.0,8112.0,4.8,35931.0
13019,6.0,8015.0,4.0,42058.0
13021,3.0,69989.0,4.3,43066.0
13023,6.0,5145.0,4.2,48115.0
13025,3.0,6754.0,4.2,44680.0
13027,3.0,7521.0,4.6,39554.0
13029,2.0,11543.0,3.1,79296.0
13031,4.0,27152.0,3.8,48788.0
13033,2.0,9131.0,5.0,42632.0
13035,1.0,9026.0,4.6,47410.0
13037,8.0,2346.0,6.5,34960.0
13039,4.0,17712.0,3.6,58552.0
13043,7.0,3966.0,4.6,41665.0
13045,1.0,44637.0,3.7,59193.0
13047,2.0,29536.0,2.7,60753.0
13049,6.0,3929.0,4.1,42891.0
13051,2.0,111047.0,3.6,57122.0
13053,2.0,2619.0,8.1,46106.0
13055,6.0,11576.0,3.7,41561.0
13057,1.0,82374.0,2.6,88635.0
13059,3.0,53962.0,3.4,41036.0
13061,9.0,1335.0,5.5,24732.0
13063,1.0,125561.0,3.3,50737.0
13065,6.0,2752.0,5.3,42928.0
13067,1.0,358689.0,2.8,79622.0
13069,7.0,17071.0,4.6,41675.0
13071,6.0,19258.0,4.6,41899.0
13073,2.0,46982.0,2.9,88285.0
13075,6.0,7225.0,4.5,40670.0
13077,1.0,48441.0,3.3,79232.0
13079,3.0,5841.0,4.0,50411.0
13081,6.0,9682.0,4.6,40482.0
13083,2.0,7668.0,3.0,45986.0
13085,1.0,8980.0,2.7,69155.0
13087,6.0,12239.0,4.5,40473.0
13089,1.0,379055.0,3.3,63606.0
13091,6.0,8464.0,4.7,41118.0
13093,6.0,4770.0,4.8,37109.0
13095,3.0,41285.0,5.2,36894.0
13097,1.0,51166.0,2.9,62915.0
13099,6.0,5329.0,5.0,40011.0
13101,3.0,1848.0,3.4,40408.0
13103,2.0,18917.0,3.1,71628.0
13105,6.0,9663.0,5.2,40962.0
13107,7.0,9883.0,5.6,38529.0
13109,6.0,4668.0,4.3,41425.0
13111,8.0,9027.0,3.9,47980.0
13113,1.0,49508.0,2.6,94563.0
13115,3.0,44476.0,3.8,50520.0
13117,1.0,56976.0,2.4,113332.0
13119,8.0,9887.0,3.9,47691.0
13121,1.0,427776.0,3.4,79235.0
13123,6.0,11247.0,3.3,57007.0
13125,9.0,1184.0,4.1,49350.0
13127,3.0,34626.0,3.5,58017.0
13129,4.0,24190.0,3.3,53373.0
13131,6.0,10948.0,4.4,42603.0
13133,6.0,6340.0,4.4,60973.0
13135,1.0,344558.0,2.7,72225.0
13137,6.0,18275.0,3.5,51296.0
13139,3.0,73188.0,2.9,66698.0
13141,7.0,3257.0,7.8,31715.0
13143,1.0,12334.0,3.5,49020.0
13145,2.0,12842.0,3.1,74052.0
13147,6.0,11314.0,4.0,50647.0
13149,1.0,5099.0,3.9,48984.0
13151,1.0,67159.0,2.7,72927.0
13153,3.0,53336.0,3.4,65641.0
13155,7.0,4516.0,4.6,42317.0
13157,4.0,21251.0,3.2,66645.0
13159,1.0,5748.0,3.2,59207.0
13161,7.0,5755.0,4.6,40603.0
13163,6.0,6729.0,6.6,35379.0
13165,6.0,3707.0,5.2,32808.0
13167,7.0,3383.0,6.0,37771.0
13169,3.0,11731.0,3.8,56819.0
13171,1.0,8006.0,4.4,57402.0
13173,3.0,3317.0,4.9,42667.0
13175,5.0,21297.0,4.5,42018.0
13177,3.0,13081.0,3.4,72425.0
13179,3.0,19522.0,5.2,51410.0
13181,2.0,3751.0,5.7,45299.0
13183,3.0,4297.0,3.6,52051.0
13185,3.0,43232.0,4.4,46450.0
13187,6.0,10854.0,2.9,57078.0
13189,2.0,9851.0,4.4,44473.0
13191,3.0,4866.0,4.3,46682.0
13193,6.0,5390.0,6.6,34634.0
13195,3.0,13734.0,3.2,52326.0
13197,2.0,3305.0,3.9,41190.0
13199,1.0,10082.0,4.5,43571.0
13201,8.0,3237.0,4.1,41769.0
13205,6.0,9859.0,5.1,37383.0
13207,3.0,11295.0,3.7,70488.0
13209,9.0,3898.0,5.7,43657.0
13211,1.0,8132.0,3.4,67089.0
13213,3.0,19512.0,3.3,50061.0
13215,2.0,83224.0,4.7,47035.0
13217,1.0,32130.0,3.2,58222.0
13219,3.0,14270.0,2.5,100878.0
13221,3.0,6594.0,3.0,54346.0
13223,1.0,45527.0,2.7,76580.0
13225,3.0,10756.0,4.5,49815.0
13227,1.0,12420.0,3.0,66183.0
13229,6.0,7600.0,4.0,46701.0
13231,1.0,6946.0,3.7,74905.0
13233,4.0,17500.0,4.1,47896.0
13235,3.0,4348.0,4.0,42274.0
13237,6.0,8999.0,3.5,62282.0
13239,9.0,1035.0,6.3,35522.0
13241,7.0,7234.0,3.2,46639.0
13243,6.0,2988.0,5.9,33505.0
13245,2.0,86749.0,4.4,44810.0
13247,1.0,36702.0,3.1,60281.0
13249,8.0,1707.0,4.1,51129.0
13251,6.0,6565.0,4.9,42331.0
13253,6.0,3987.0,4.9,38618.0
13255,1.0,27970.0,4.3,49237.0
13257,7.0,13146.0,3.6,45416.0
13259,8.0,2075.0,5.4,34566.0
13261,6.0,15245.0,4.1,40250.0
13263,8.0,2834.0,5.4,41045.0
13265,8.0,844.0,5.1,37046.0
13267,6.0,8802.0,5.7,41457.0
13269,8.0,3390.0,5.3,28234.0
13271,7.0,4403.0,7.7,36264.0
13273,3.0,4631.0,5.2,37122.0
13275,4.0,19739.0,4.2,47978.0
13277,5.0,18813.0,4.1,47764.0
13279,7.0,12175.0,6.5,41442.0
13281,9.0,4229.0,4.3,49023.0
13283,7.0,2619.0,7.8,37478.0
13285,4.0,29926.0,3.6,47296.0
13287,6.0,4344.0,5.5,35400.0
13289,3.0,4575.0,4.4,44079.0
13291,9.0,8060.0,3.9,57049.0
13293,6.0,12735.0,5.0,40926.0
13295,2.0,30270.0,3.5,47548.0
13297,1.0,32341.0,3.1,67007.0
