fips,state,area_name,2013_urban_influence_code,percent_of_adults_with_a_high_school_diploma_only_1980,percent_of_adults_completing_some_college_or_associates_degree_2000,bachelors_degree_or_higher_2015_19,percent_of_adults_with_less_than_a_high_school_diploma_2015_19,percent_of_adults_with_a_high_school_diploma_only_2015_19,percent_of_adults_completing_some_college_or_associates_degree_2015_19,percent_of_adults_with_a_bachelors_degree_or_higher_2015_19
48463,TX,Uvalde County,3.0,19.6,23.4,2996.0,24.18757438659668,29.342891693115234,28.57228279113769,17.897253036499023
48465,TX,Val Verde County,8.0,26.6,19.8,5425.0,31.77411651611328,24.44241142272949,25.394887924194336,18.38858413696289
48467,TX,Van Zandt County,4.0,30.2,26.1,6009.0,15.401551246643066,34.24460220336914,34.60369110107422,15.750157356262209
48469,TX,Victoria County,2.0,30.1,30.9,12033.0,16.20693016052246,30.84876823425293,32.97317886352539,19.971120834350582
48471,TX,Walker County,3.0,25.0,23.1,9701.0,13.968710899353027,39.86093521118164,25.351417541503903,20.818937301635746
48473,TX,Waller County,1.0,27.4,25.7,6034.0,17.50174903869629,32.52973937988281,28.85584259033203,21.112667083740234
48475,TX,Ward County,6.0,36.4,23.2,918.0,21.373321533203125,36.24643707275391,29.92264938354492,12.457592964172363
48477,TX,Washington County,3.0,22.2,24.5,6284.0,13.253576278686523,31.04564094543457,28.94669532775879,26.75408744812012
48479,TX,Webb County,2.0,19.2,21.1,28650.0,32.4383430480957,25.304643630981445,23.324125289916992,18.932886123657227
48481,TX,Wharton County,3.0,23.5,26.1,4861.0,21.730270385742188,27.53612518310547,32.72323226928711,18.010374069213867
48483,TX,Wheeler County,10.0,31.2,28.4,610.0,19.757173538208008,30.04966926574707,33.36092758178711,16.832229614257812
48485,TX,Wichita County,2.0,32.4,30.1,19455.0,13.404348373413086,31.71967124938965,31.797962188720703,23.07801818847656
48487,TX,Wilbarger County,5.0,26.1,25.6,1346.0,22.82068634033203,34.010841369628906,27.9697380065918,15.198735237121582
48489,TX,Willacy County,5.0,17.6,16.9,1178.0,34.26594543457031,35.65734100341797,21.216907501220703,8.859807014465332
48491,TX,Williamson County,1.0,29.2,33.0,149594.0,6.766497611999512,20.509944915771484,31.40814971923828,41.315406799316406
48493,TX,Wilson County,1.0,28.7,26.9,7197.0,12.4342622756958,36.087772369384766,29.725563049316406,21.752403259277344
48495,TX,Winkler County,6.0,34.6,22.5,380.0,30.81092834472656,30.26886367797852,30.680831909179688,8.239375114440918
48497,TX,Wise County,1.0,31.9,28.3,8003.0,14.696751594543455,34.78133773803711,32.51822280883789,18.00368881225586
48499,TX,Wood County,6.0,29.1,28.9,5366.0,15.272523880004885,33.369503021240234,34.721275329589844,16.636695861816406
48501,TX,Yoakum County,9.0,29.7,22.6,619.0,36.507286071777344,26.16457939147949,24.62548828125,12.70264720916748
48503,TX,Young County,11.0,29.2,25.6,2402.0,17.02076530456543,33.68075180053711,30.0408878326416,19.25759696960449
48505,TX,Zapata County,5.0,25.1,16.7,933.0,38.08753967285156,30.800796508789062,19.510072708129883,11.601592063903809
48507,TX,Zavala County,9.0,12.4,15.5,770.0,33.145355224609375,32.66600799560547,23.332862854003903,10.855772972106934
49001,UT,Beaver County,9.0,44.9,32.7,807.0,11.073387145996094,32.59336471557617,35.25724792480469,21.07599830627441
49003,UT,Box Elder County,2.0,40.9,36.9,7630.0,6.935600280761719,31.026695251464844,38.10345458984375,23.93425178527832
49005,UT,Cache County,2.0,32.0,35.9,24015.0,6.858145713806152,20.23775291442871,34.58433151245117,38.31977081298828
49007,UT,Carbon County,8.0,35.5,37.4,2239.0,8.43907642364502,27.11359024047852,47.33221054077149,17.11511993408203
49009,UT,Daggett County,10.0,39.4,36.6,54.0,5.970149040222168,40.04975128173828,40.54726409912109,13.432835578918455
49011,UT,Davis County,2.0,38.9,40.1,76128.0,4.3575944900512695,21.158090591430664,36.72709274291992,37.75722122192383
49013,UT,Duchesne County,9.0,39.7,30.6,1726.0,11.223363876342772,36.726375579833984,37.397064208984375,14.653196334838867
49015,UT,Emery County,10.0,44.3,37.3,1026.0,6.210392951965332,30.22813606262207,47.30671691894531,16.25475311279297
49017,UT,Garfield County,12.0,38.1,33.0,892.0,7.339715480804443,36.17638397216797,30.606325149536133,25.877574920654297
49019,UT,Grand County,11.0,39.9,32.8,1979.0,6.684994697570801,28.46187210083008,36.21762466430664,28.6355094909668
49021,UT,Iron County,5.0,32.8,40.8,8544.0,7.061328411102295,23.58546638488769,39.53017425537109,29.82303047180176
49023,UT,Juab County,2.0,45.8,35.4,1012.0,8.923222541809082,38.56219482421875,36.55998611450195,15.954595565795898
49025,UT,Kane County,6.0,38.2,39.1,1591.0,7.511736869812012,21.80281639099121,40.80751037597656,29.877933502197266
49027,UT,Millard County,11.0,39.5,39.3,1620.0,11.896288871765137,30.617691040039062,36.89628982543945,20.589731216430664
49029,UT,Morgan County,2.0,42.0,39.7,2551.0,1.8695920705795288,19.561185836791992,39.15327453613281,39.41594696044922
49031,UT,Piute County,12.0,40.0,34.5,263.0,9.0,40.53845977783203,30.230770111083984,20.230770111083984
49033,UT,Rich County,7.0,39.8,35.5,336.0,4.318026065826416,32.07676315307617,40.57573699951172,23.02947235107422
49035,UT,Salt Lake County,1.0,35.3,35.4,254184.0,9.183904647827148,22.62474822998047,32.62113952636719,35.57020950317383
49037,UT,San Juan County,9.0,28.1,32.1,1659.0,15.08164119720459,32.21535873413086,34.39982223510742,18.30317687988281
49039,UT,Sanpete County,6.0,39.9,38.4,3698.0,9.753337860107422,28.92622756958008,40.399410247802734,20.921022415161133
49041,UT,Sevier County,11.0,40.3,36.3,2440.0,9.353715896606444,32.75313949584961,39.427879333496094,18.46526336669922
49043,UT,Summit County,3.0,34.3,29.8,15046.0,5.093608379364014,16.015796661376953,23.87377548217773,55.01681900024414
49045,UT,Tooele County,1.0,40.5,36.7,9490.0,8.730077743530273,29.285860061645508,37.74519729614258,24.238862991333008
49047,UT,Uintah County,8.0,37.8,30.6,3297.0,14.268630981445312,34.92298889160156,35.03778839111328,15.770591735839844
49049,UT,Utah County,2.0,31.1,40.3,122208.0,5.400875091552734,16.387283325195312,37.40374755859375,40.8080940246582
49051,UT,Wasatch County,3.0,41.8,37.9,7575.0,5.405547618865967,21.811674118041992,32.91225814819336,39.87051773071289
49053,UT,Washington County,2.0,38.6,39.9,29980.0,7.092789173126221,23.385896682739254,41.464603424072266,28.056713104248047
49055,UT,Wayne County,12.0,40.0,41.3,415.0,11.648846626281738,24.59200859069824,40.40517807006836,23.353967666625977
49057,UT,Weber County,2.0,38.1,37.5,38100.0,9.356146812438965,29.58346366882324,36.58097839355469,24.47941017150879
50001,VT,Addison County,6.0,35.1,22.8,10068.0,6.506687641143799,29.122737884521484,24.763965606689453,39.60660934448242
50003,VT,Bennington County,5.0,33.6,24.7,9227.0,8.828722953796387,29.072002410888672,25.89366340637207,36.20561218261719
50005,VT,Caledonia County,9.0,38.9,22.6,6257.0,8.693634986877441,35.28947830200195,26.99016571044922,29.026721954345703
50007,VT,Chittenden County,2.0,33.9,25.9,54980.0,5.630805015563965,18.994632720947266,24.051342010498047,51.323219299316406
50009,VT,Essex County,8.0,37.2,18.2,766.0,13.205155372619627,45.95394134521485,24.656665802001957,16.18423843383789
50011,VT,Franklin County,2.0,38.7,24.9,8254.0,9.330924034118652,37.94148635864258,28.674671173095703,24.052919387817383
50013,VT,Grand Isle County,2.0,37.9,25.4,2096.0,7.133371353149414,26.977802276611328,26.12407493591309,39.76475143432617
50015,VT,Lamoille County,7.0,33.6,25.2,6792.0,7.177006721496582,25.56949234008789,29.05112838745117,38.20237350463867
50017,VT,Orange County,8.0,36.4,22.8,6169.0,8.196643829345703,36.15667343139648,26.56957054138184,29.077112197875977
50019,VT,Orleans County,11.0,36.3,21.4,4256.0,11.69238567352295,39.45357894897461,27.321022033691406,21.53301239013672
50021,VT,Rutland County,5.0,37.2,25.3,13166.0,7.402810096740723,34.43325424194336,27.330211639404297,30.833723068237305
50023,VT,Washington County,5.0,38.3,24.7,17463.0,6.313772678375244,26.946107864379883,24.912574768066406,41.827545166015625
50025,VT,Windham County,9.0,36.4,24.1,12110.0,7.585187911987305,29.54859733581543,24.79881858825684,38.0673942565918
50027,VT,Windsor County,8.0,38.6,25.6,15879.0,6.56602144241333,29.08600616455078,26.114803314208984,38.23316955566406
51001,VA,Accomack County,6.0,23.8,20.3,4576.0,18.547666549682617,36.7252311706543,25.260560989379883,19.466541290283203
51003,VA,Albemarle County,2.0,22.5,22.0,40215.0,7.936986923217773,15.757434844970703,21.168954849243164,55.13662338256836
51005,VA,Alleghany County,6.0,30.4,24.7,1688.0,14.000712394714355,40.34556579589844,30.6198787689209,15.033843994140623
51007,VA,Amelia County,1.0,25.5,22.4,1591.0,16.126253128051758,40.79500198364258,25.939889907836918,17.138856887817383
