fips,2003_rural_urban_continuum_code,less_than_a_high_school_diploma_1970,percent_of_adults_with_less_than_a_high_school_diploma_1970
13279,7.0,7201.0,72.5
13281,9.0,1750.0,68.6
13283,7.0,2371.0,80.6
13285,4.0,17093.0,70.2
13287,6.0,3580.0,77.7
13289,3.0,3175.0,82.1
13291,9.0,3081.0,79.2
13293,6.0,9210.0,69.1
13295,2.0,18472.0,66.6
13297,1.0,9166.0,74.7
13299,4.0,12190.0,67.3
13301,8.0,2656.0,79.2
13303,7.0,7048.0,78.4
13305,6.0,5836.0,64.5
13307,8.0,986.0,84.9
13309,9.0,2026.0,83.2
13311,8.0,3028.0,72.4
13313,3.0,19979.0,70.3
13315,9.0,2706.0,71.6
13317,6.0,3955.0,68.7
13319,8.0,3725.0,78.0
13321,3.0,5426.0,73.0
15001,5.0,18359.0,53.2
15003,2.0,104906.0,34.0
15005,9.0,16711.331206126357,55.301340140395546
15007,5.0,9343.0,56.6
15009,5.0,14093.0,55.7
16001,2.0,18137.0,30.5
16003,8.0,793.0,49.9
16005,3.0,8975.0,36.3
16007,7.0,1299.0,40.9
16009,6.0,1864.0,53.5
16011,6.0,5750.0,41.4
16013,7.0,1161.0,35.9
16015,2.0,433.0,44.5
16017,6.0,4480.0,49.8
16019,3.0,7572.0,31.0
16021,7.0,1886.0,53.5
16023,8.0,586.0,39.5
16025,9.0,101.0,25.4
16027,2.0,15284.0,46.6
16029,6.0,1070.0,33.4
16031,7.0,3758.0,44.5
16033,8.0,163.0,48.7
16035,6.0,3057.0,52.1
16037,9.0,812.0,47.4
16039,4.0,2392.0,32.1
16041,3.0,1503.0,38.8
16043,6.0,1771.0,41.3
16045,2.0,2787.0,53.6
16047,7.0,2321.0,46.5
16049,6.0,3199.0,46.5
16051,3.0,2578.0,45.9
16053,7.0,2864.0,50.4
16055,3.0,8535.0,43.4
16057,4.0,3783.0,33.1
16059,7.0,1465.0,45.9
16061,8.0,950.0,43.7
16063,9.0,836.0,49.2
16065,6.0,1517.0,32.0
16067,7.0,3458.0,44.6
16069,3.0,6401.0,39.1
16071,8.0,633.0,37.5
16073,2.0,1763.0,53.4
16075,6.0,3436.0,47.9
